Date,Stock
2024-10-24 15:23:00,13
2024-10-24 15:24:00,16
2024-10-24 15:25:00,16
2024-10-24 15:26:00,10
2024-10-24 15:27:00,20
2024-10-24 15:28:00,20
2024-10-24 15:29:00,25
2024-10-25 09:15:00,21
2024-10-25 09:16:00,16
2024-10-25 09:17:00,18
2024-10-25 09:18:00,160
2024-10-25 09:19:00,160
2024-10-25 09:20:00,160
2024-10-25 09:21:00,160
2024-10-25 09:22:00,160
2024-10-25 09:23:00,160
2024-10-25 09:24:00,160
2024-10-25 09:25:00,160
2024-10-25 09:26:00,160
2024-10-25 09:27:00,160
2024-10-25 09:28:00,160
2024-10-25 09:29:00,160
2024-10-25 09:30:00,160
2024-10-25 09:31:00,160
2024-10-25 09:32:00,160
2024-10-25 09:33:00,160
2024-10-25 09:34:00,160
2024-10-25 09:35:00,160
2024-10-25 09:36:00,160
2024-10-25 09:37:00,160
2024-10-25 09:38:00,160
2024-10-25 09:39:00,160
2024-10-25 09:40:00,160
2024-10-25 09:41:00,160
2024-10-25 09:42:00,160
2024-10-25 09:43:00,160
2024-10-25 09:44:00,160
2024-10-25 09:45:00,160
2024-10-25 09:46:00,160
2024-10-25 09:47:00,160
2024-10-25 09:48:00,160
2024-10-25 09:49:00,160
2024-10-25 09:50:00,160
2024-10-25 09:51:00,160
2024-10-25 09:52:00,160
2024-10-25 09:53:00,160
2024-10-25 09:54:00,160
2024-10-25 09:55:00,160
2024-10-25 09:56:00,160
2024-10-25 09:57:00,160
2024-10-25 09:58:00,160
2024-10-25 09:59:00,160
2024-10-25 10:00:00,160
2024-10-25 10:01:00,160
2024-10-25 10:02:00,160
2024-10-25 10:03:00,160
2024-10-25 10:04:00,160
2024-10-25 10:05:00,160
2024-10-25 10:06:00,160
2024-10-25 10:07:00,160
2024-10-25 10:08:00,160
2024-10-25 10:09:00,160
2024-10-25 10:10:00,160
2024-10-25 10:11:00,160
2024-10-25 10:12:00,160
2024-10-25 10:13:00,160
2024-10-25 10:14:00,160
2024-10-25 10:15:00,160
2024-10-25 10:16:00,160
2024-10-25 10:17:00,160
2024-10-25 10:18:00,160
2024-10-25 10:19:00,160
2024-10-25 10:20:00,160
2024-10-25 10:21:00,160
2024-10-25 10:22:00,160
2024-10-25 10:23:00,160
2024-10-25 10:24:00,160
2024-10-25 10:25:00,160
2024-10-25 10:26:00,160
2024-10-25 10:27:00,160
2024-10-25 10:28:00,160
2024-10-25 10:29:00,160
2024-10-25 10:30:00,160
2024-10-25 10:31:00,160
2024-10-25 10:32:00,160
2024-10-25 10:33:00,160
2024-10-25 10:34:00,160
2024-10-25 10:35:00,160
2024-10-25 10:36:00,160
2024-10-25 10:37:00,160
2024-10-25 10:38:00,160
2024-10-25 10:39:00,160
2024-10-25 10:40:00,160
2024-10-25 10:41:00,160
2024-10-25 10:42:00,160
2024-10-25 10:43:00,160
2024-10-25 10:44:00,160
2024-10-25 10:45:00,160
2024-10-25 10:46:00,160
2024-10-25 10:47:00,160
2024-10-25 10:48:00,160
2024-10-25 10:49:00,160
2024-10-25 10:50:00,160
2024-10-25 10:51:00,160
2024-10-25 10:52:00,160
2024-10-25 10:53:00,160
2024-10-25 10:54:00,160
2024-10-25 10:55:00,160
2024-10-25 10:56:00,160
2024-10-25 10:57:00,160
2024-10-25 10:58:00,160
2024-10-25 10:59:00,160
2024-10-25 11:00:00,160
2024-10-25 11:01:00,160
2024-10-25 11:02:00,160
2024-10-25 11:03:00,160
2024-10-25 11:04:00,160
2024-10-25 11:05:00,160
2024-10-25 11:06:00,160
2024-10-25 11:07:00,160
2024-10-25 11:08:00,160
2024-10-25 11:09:00,160
2024-10-25 11:10:00,160
2024-10-25 11:11:00,160
2024-10-25 11:12:00,160
2024-10-25 11:13:00,160
2024-10-25 11:14:00,160
2024-10-25 11:15:00,160
2024-10-25 11:16:00,160
2024-10-25 11:17:00,160
2024-10-25 11:18:00,160
2024-10-25 11:19:00,160
2024-10-25 11:20:00,160
2024-10-25 11:21:00,160
2024-10-25 11:22:00,160
2024-10-25 11:23:00,160
2024-10-25 11:24:00,160
2024-10-25 11:25:00,160
2024-10-25 11:26:00,160
2024-10-25 11:27:00,160
2024-10-25 11:28:00,160
2024-10-25 11:29:00,160
2024-10-25 11:31:00,160
2024-10-25 11:32:00,160
2024-10-25 11:33:00,160
2024-10-25 11:34:00,160
2024-10-25 11:35:00,160
2024-10-25 11:36:00,160
2024-10-25 11:37:00,160
2024-10-25 11:38:00,160
2024-10-25 11:39:00,160
2024-10-25 11:40:00,160
2024-10-25 11:41:00,160
2024-10-25 11:42:00,160
2024-10-25 11:43:00,160
2024-10-25 11:44:00,160
2024-10-25 11:45:00,160
2024-10-25 11:46:00,160
2024-10-25 11:47:00,160
2024-10-25 11:48:00,160
2024-10-25 11:49:00,160
2024-10-25 11:50:00,160
2024-10-25 11:51:00,160
2024-10-25 11:52:00,160
2024-10-25 11:53:00,160
2024-10-25 11:54:00,160
2024-10-25 11:55:00,160
2024-10-25 11:56:00,160
2024-10-25 11:57:00,160
2024-10-25 09:18:00,20
2024-10-25 09:19:00,13
2024-10-25 09:20:00,11
2024-10-25 09:21:00,10
2024-10-25 09:22:00,5
2024-10-25 09:23:00,9
2024-10-25 09:24:00,6
2024-10-25 09:25:00,12
2024-10-25 09:26:00,14
2024-10-25 09:27:00,14
2024-10-25 09:28:00,18
2024-10-25 09:29:00,17
2024-10-25 09:30:00,5
2024-10-25 09:31:00,1
2024-10-25 09:32:00,6
2024-10-25 09:33:00,3
2024-10-25 09:34:00,2
2024-10-25 09:35:00,5
2024-10-25 09:36:00,3
2024-10-25 09:37:00,1
2024-10-25 09:38:00,1
2024-10-25 09:39:00,3
2024-10-25 09:40:00,2
2024-10-25 09:41:00,3
2024-10-25 09:42:00,4
2024-10-25 09:43:00,3
2024-10-25 09:44:00,8
2024-10-25 09:45:00,20
2024-10-25 09:46:00,2
2024-10-25 09:47:00,4
2024-10-25 09:48:00,6
2024-10-25 09:49:00,8
2024-10-25 09:50:00,8
2024-10-25 09:51:00,10
2024-10-25 09:52:00,6
2024-10-25 09:53:00,4
2024-10-25 09:54:00,7
2024-10-25 09:55:00,6
2024-10-25 09:56:00,6
2024-10-25 09:57:00,6
2024-10-25 09:58:00,4
2024-10-25 09:59:00,7
2024-10-25 10:00:00,11
2024-10-25 10:01:00,14
2024-10-25 10:02:00,13
2024-10-25 10:03:00,12
2024-10-25 10:04:00,9
2024-10-25 10:05:00,20
2024-10-25 10:06:00,15
2024-10-25 10:07:00,9
2024-10-25 10:08:00,3
2024-10-25 10:09:00,6
2024-10-25 10:10:00,13
2024-10-25 10:11:00,8
2024-10-25 10:12:00,11
2024-10-25 10:13:00,5
2024-10-25 10:14:00,4
2024-10-25 10:15:00,8
2024-10-25 10:16:00,18
2024-10-25 10:17:00,16
2024-10-25 10:18:00,25
2024-10-25 10:19:00,15
2024-10-25 10:20:00,24
2024-10-25 10:21:00,31
2024-10-25 10:22:00,32
2024-10-25 10:23:00,29
2024-10-25 10:24:00,12
2024-10-25 10:25:00,8
2024-10-25 10:26:00,7
2024-10-25 10:27:00,6
2024-10-25 10:28:00,6
2024-10-25 10:29:00,7
2024-10-25 10:30:00,6
2024-10-25 10:31:00,17
2024-10-25 10:32:00,22
2024-10-25 10:33:00,19
2024-10-25 10:34:00,12
2024-10-25 10:35:00,15
2024-10-25 10:36:00,12
2024-10-25 10:37:00,16
2024-10-25 10:38:00,16
2024-10-25 10:39:00,12
2024-10-25 10:40:00,10
2024-10-25 10:41:00,5
2024-10-25 10:42:00,6
2024-10-25 10:43:00,7
2024-10-25 10:44:00,8
2024-10-25 10:45:00,10
2024-10-25 10:46:00,6
2024-10-25 10:47:00,10
2024-10-25 10:48:00,2
2024-10-25 10:49:00,5
2024-10-25 10:50:00,9
2024-10-25 10:51:00,4
2024-10-25 10:52:00,6
2024-10-25 10:53:00,10
2024-10-25 10:54:00,2
2024-10-25 10:55:00,3
2024-10-25 10:56:00,18
2024-10-25 10:57:00,16
2024-10-25 10:58:00,24
2024-10-25 10:59:00,31
2024-10-25 11:00:00,29
2024-10-25 11:01:00,27
2024-10-25 11:02:00,21
2024-10-25 11:03:00,35
2024-10-25 11:04:00,23
2024-10-25 11:05:00,23
2024-10-25 11:06:00,7
2024-10-25 11:07:00,1
2024-10-25 11:08:00,5
2024-10-25 11:09:00,5
2024-10-25 11:10:00,6
2024-10-25 11:11:00,11
2024-10-25 11:12:00,28
2024-10-25 11:13:00,31
2024-10-25 11:14:00,35
2024-10-25 11:15:00,27
2024-10-25 11:16:00,19
2024-10-25 11:17:00,19
2024-10-25 11:18:00,31
2024-10-25 11:19:00,38
2024-10-25 11:20:00,36
2024-10-25 11:21:00,27
2024-10-25 11:22:00,11
2024-10-25 11:23:00,10
2024-10-25 11:24:00,9
2024-10-25 11:25:00,6
2024-10-25 11:26:00,7
2024-10-25 11:27:00,2
2024-10-25 11:28:00,6
2024-10-25 11:29:00,1
2024-10-25 11:31:00,6
2024-10-25 11:32:00,5
2024-10-25 11:33:00,5
2024-10-25 11:34:00,10
2024-10-25 11:35:00,18
2024-10-25 11:36:00,14
2024-10-25 11:37:00,9
2024-10-25 11:38:00,14
2024-10-25 11:39:00,33
2024-10-25 11:40:00,29
2024-10-25 11:41:00,13
2024-10-25 11:42:00,31
2024-10-25 11:43:00,15
